,sub,condition,hit,fa,dprime,duration,property,Dist,RE
106,5d1aaa--REDACTED,Dist_Large_RE_Large_5,0.562,0.015625,2.31,5,Dist_Large_RE_Large,Large,Large
107,5d1aaa--REDACTED,Dist_Small_RE_Large_10,0.688,0.312,0.98,10,Dist_Small_RE_Large,Small,Large
108,5dd742--REDACTED,Dist_Small_RE_Large_5,0.75,0.438,0.831,5,Dist_Small_RE_Large,Small,Large
109,5dd742--REDACTED,Dist_Small_RE_Large_10,0.75,0.5,0.674,10,Dist_Small_RE_Large,Small,Large
110,5dd742--REDACTED,Dist_Large_RE_Large_10,0.812,0.375,1.204,10,Dist_Large_RE_Large,Large,Large
111,5dd742--REDACTED,Dist_Small_RE_Small_5,0.562,0.562,0.0,5,Dist_Small_RE_Small,Small,Small
112,5dd742--REDACTED,Dist_Large_RE_Small_2,0.688,0.375,0.809,2,Dist_Large_RE_Small,Large,Small
113,5dd742--REDACTED,Dist_Small_RE_Small_2,0.688,0.5,0.49,2,Dist_Small_RE_Small,Small,Small
114,5dd742--REDACTED,Dist_Large_RE_Large_2,0.75,0.5,0.674,2,Dist_Large_RE_Large,Large,Large
115,5dd742--REDACTED,Dist_Small_RE_Small_10,0.625,0.375,0.637,10,Dist_Small_RE_Small,Small,Small
116,5dd742--REDACTED,Dist_Large_RE_Small_10,0.812,0.375,1.204,10,Dist_Large_RE_Small,Large,Small
117,5dd742--REDACTED,Dist_Large_RE_Small_5,0.688,0.312,0.98,5,Dist_Large_RE_Small,Large,Small
118,5dd742--REDACTED,Dist_Large_RE_Large_5,0.75,0.25,1.349,5,Dist_Large_RE_Large,Large,Large
119,5dd742--REDACTED,Dist_Small_RE_Large_2,0.438,0.438,0.0,2,Dist_Small_RE_Large,Small,Large
120,5de9ce--REDACTED,Dist_Large_RE_Small_2,0.5,0.312,0.49,2,Dist_Large_RE_Small,Large,Small
121,5de9ce--REDACTED,Dist_Large_RE_Large_10,0.875,0.188,2.036,10,Dist_Large_RE_Large,Large,Large
122,5de9ce--REDACTED,Dist_Large_RE_Small_5,0.733,0.125,1.772,5,Dist_Large_RE_Small,Large,Small
123,5de9ce--REDACTED,Dist_Large_RE_Small_10,0.938,0.188,2.423,10,Dist_Large_RE_Small,Large,Small
124,5de9ce--REDACTED,Dist_Large_RE_Large_5,0.75,0.188,1.56,5,Dist_Large_RE_Large,Large,Large
125,5de9ce--REDACTED,Dist_Large_RE_Large_2,0.467,0.375,0.236,2,Dist_Large_RE_Large,Large,Large
126,5de9ce--REDACTED,Dist_Small_RE_Small_2,0.5,0.312,0.49,2,Dist_Small_RE_Small,Small,Small
127,5de9ce--REDACTED,Dist_Small_RE_Large_10,0.562,0.438,0.312,10,Dist_Small_RE_Large,Small,Large
128,5de9ce--REDACTED,Dist_Small_RE_Large_2,0.438,0.5,-0.156,2,Dist_Small_RE_Large,Small,Large
129,5de9ce--REDACTED,Dist_Small_RE_Small_10,0.812,0.188,1.771,10,Dist_Small_RE_Small,Small,Small
130,5de9ce--REDACTED,Dist_Small_RE_Large_5,0.688,0.375,0.809,5,Dist_Small_RE_Large,Small,Large
131,5de9ce--REDACTED,Dist_Small_RE_Small_5,0.625,0.438,0.475,5,Dist_Small_RE_Small,Small,Small
132,5e28e8--REDACTED,Dist_Large_RE_Small_5,0.875,0.312,1.641,5,Dist_Large_RE_Small,Large,Small
133,5e28e8--REDACTED,Dist_Small_RE_Large_5,0.438,0.25,0.518,5,Dist_Small_RE_Large,Small,Large
134,5e28e8--REDACTED,Dist_Large_RE_Large_10,0.938,0.25,2.213,10,Dist_Large_RE_Large,Large,Large
135,5e28e8--REDACTED,Dist_Small_RE_Large_10,0.875,0.312,1.641,10,Dist_Small_RE_Large,Small,Large
136,5e28e8--REDACTED,Dist_Large_RE_Large_2,0.5,0.188,0.885,2,Dist_Large_RE_Large,Large,Large
137,5e28e8--REDACTED,Dist_Small_RE_Small_2,0.312,0.25,0.184,2,Dist_Small_RE_Small,Small,Small
138,5e28e8--REDACTED,Dist_Large_RE_Large_5,0.812,0.062,2.423,5,Dist_Large_RE_Large,Large,Large
139,5e28e8--REDACTED,Dist_Large_RE_Small_10,0.875,0.312,1.641,10,Dist_Large_RE_Small,Large,Small
140,5e28e8--REDACTED,Dist_Large_RE_Small_2,0.438,0.188,0.729,2,Dist_Large_RE_Small,Large,Small
141,5e28e8--REDACTED,Dist_Small_RE_Large_2,0.438,0.125,0.994,2,Dist_Small_RE_Large,Small,Large
142,5e28e8--REDACTED,Dist_Small_RE_Small_5,0.562,0.312,0.646,5,Dist_Small_RE_Small,Small,Small
143,5e28e8--REDACTED,Dist_Small_RE_Small_10,0.625,0.188,1.204,10,Dist_Small_RE_Small,Small,Small
144,5e3e11--REDACTED,Dist_Small_RE_Small_2,0.375,0.5,-0.319,2,Dist_Small_RE_Small,Small,Small
145,5e3e11--REDACTED,Dist_Large_RE_Large_2,0.625,0.062,1.857,2,Dist_Large_RE_Large,Large,Large
146,5e3e11--REDACTED,Dist_Large_RE_Small_5,0.75,0.062,2.213,5,Dist_Large_RE_Small,Large,Small
147,5e3e11--REDACTED,Dist_Large_RE_Large_5,0.984375,0.25,2.828,5,Dist_Large_RE_Large,Large,Large
148,5e3e11--REDACTED,Dist_Small_RE_Small_10,0.75,0.125,1.825,10,Dist_Small_RE_Small,Small,Small
149,5e3e11--REDACTED,Dist_Large_RE_Small_10,0.938,0.375,1.857,10,Dist_Large_RE_Small,Large,Small
150,5e3e11--REDACTED,Dist_Small_RE_Large_2,0.375,0.125,0.832,2,Dist_Small_RE_Large,Small,Large
151,5e3e11--REDACTED,Dist_Small_RE_Large_5,0.438,0.375,0.163,5,Dist_Small_RE_Large,Small,Large
152,5e3e11--REDACTED,Dist_Small_RE_Small_5,0.625,0.25,0.993,5,Dist_Small_RE_Small,Small,Small
153,5e3e11--REDACTED,Dist_Small_RE_Large_10,0.688,0.438,0.646,10,Dist_Small_RE_Large,Small,Large
154,5e3e11--REDACTED,Dist_Large_RE_Small_2,0.625,0.25,0.993,2,Dist_Large_RE_Small,Large,Small
155,5e3e11--REDACTED,Dist_Large_RE_Large_10,0.938,0.312,2.028,10,Dist_Large_RE_Large,Large,Large
156,5e7237--REDACTED,Dist_Large_RE_Small_2,0.25,0.5,-0.674,2,Dist_Large_RE_Small,Large,Small
157,5e7237--REDACTED,Dist_Small_RE_Small_2,0.375,0.375,0.0,2,Dist_Small_RE_Small,Small,Small
158,5e7237--REDACTED,Dist_Large_RE_Small_5,0.625,0.062,1.857,5,Dist_Large_RE_Small,Large,Small
159,5e7237--REDACTED,Dist_Large_RE_Large_10,0.812,0.188,1.771,10,Dist_Large_RE_Large,Large,Large
160,5e7237--REDACTED,Dist_Large_RE_Large_2,0.75,0.062,2.213,2,Dist_Large_RE_Large,Large,Large
161,5e7237--REDACTED,Dist_Small_RE_Large_10,0.5,0.25,0.674,10,Dist_Small_RE_Large,Small,Large
162,5e7237--REDACTED,Dist_Small_RE_Small_5,0.125,0.125,0.0,5,Dist_Small_RE_Small,Small,Small
163,5e7237--REDACTED,Dist_Small_RE_Large_5,0.25,0.188,0.211,5,Dist_Small_RE_Large,Small,Large
164,5e7237--REDACTED,Dist_Large_RE_Large_5,0.438,0.188,0.729,5,Dist_Large_RE_Large,Large,Large
165,5e7237--REDACTED,Dist_Small_RE_Small_10,0.25,0.25,0.0,10,Dist_Small_RE_Small,Small,Small
166,5e7237--REDACTED,Dist_Small_RE_Large_2,0.125,0.188,-0.265,2,Dist_Small_RE_Large,Small,Large
167,5e7237--REDACTED,Dist_Large_RE_Small_10,0.562,0.188,1.041,10,Dist_Large_RE_Small,Large,Small
168,5ec2c1--REDACTED,Dist_Large_RE_Small_2,0.438,0.375,0.163,2,Dist_Large_RE_Small,Large,Small
169,5ec2c1--REDACTED,Dist_Large_RE_Small_5,0.688,0.5,0.49,5,Dist_Large_RE_Small,Large,Small
170,5ec2c1--REDACTED,Dist_Large_RE_Large_10,0.5,0.25,0.674,10,Dist_Large_RE_Large,Large,Large
171,5ec2c1--REDACTED,Dist_Small_RE_Large_5,0.438,0.25,0.518,5,Dist_Small_RE_Large,Small,Large
172,5ec2c1--REDACTED,Dist_Small_RE_Large_10,0.562,0.125,1.306,10,Dist_Small_RE_Large,Small,Large
173,5ec2c1--REDACTED,Dist_Small_RE_Small_10,0.625,0.188,1.204,10,Dist_Small_RE_Small,Small,Small
174,5ec2c1--REDACTED,Dist_Small_RE_Small_5,0.5,0.125,1.15,5,Dist_Small_RE_Small,Small,Small
175,5ec2c1--REDACTED,Dist_Large_RE_Small_10,0.688,0.25,1.165,10,Dist_Large_RE_Small,Large,Small
176,5ec2c1--REDACTED,Dist_Large_RE_Large_5,0.625,0.188,1.204,5,Dist_Large_RE_Large,Large,Large
177,5ec2c1--REDACTED,Dist_Small_RE_Small_2,0.375,0.312,0.172,2,Dist_Small_RE_Small,Small,Small
178,5ec2c1--REDACTED,Dist_Small_RE_Large_2,0.375,0.312,0.172,2,Dist_Small_RE_Large,Small,Large
179,5ec2c1--REDACTED,Dist_Large_RE_Large_2,0.438,0.188,0.729,2,Dist_Large_RE_Large,Large,Large
180,5efd29--REDACTED,Dist_Small_RE_Large_5,0.812,0.438,1.041,5,Dist_Small_RE_Large,Small,Large
181,5efd29--REDACTED,Dist_Small_RE_Large_10,0.984375,0.375,2.473,10,Dist_Small_RE_Large,Small,Large
182,5efd29--REDACTED,Dist_Large_RE_Large_10,0.875,0.188,2.036,10,Dist_Large_RE_Large,Large,Large
183,5efd29--REDACTED,Dist_Small_RE_Small_5,0.625,0.312,0.809,5,Dist_Small_RE_Small,Small,Small
184,5efd29--REDACTED,Dist_Large_RE_Small_2,0.812,0.25,1.56,2,Dist_Large_RE_Small,Large,Small
185,5efd29--REDACTED,Dist_Small_RE_Small_2,0.625,0.625,0.0,2,Dist_Small_RE_Small,Small,Small
186,5efd29--REDACTED,Dist_Large_RE_Large_2,0.875,0.125,2.301,2,Dist_Large_RE_Large,Large,Large
187,5efd29--REDACTED,Dist_Small_RE_Small_10,0.562,0.188,1.041,10,Dist_Small_RE_Small,Small,Small
188,5efd29--REDACTED,Dist_Large_RE_Small_10,0.938,0.375,1.857,10,Dist_Large_RE_Small,Large,Small
189,5efd29--REDACTED,Dist_Large_RE_Small_5,0.875,0.125,2.301,5,Dist_Large_RE_Small,Large,Small
190,5efd29--REDACTED,Dist_Large_RE_Large_5,0.75,0.125,1.825,5,Dist_Large_RE_Large,Large,Large
191,5efd29--REDACTED,Dist_Small_RE_Large_2,0.5,0.188,0.885,2,Dist_Small_RE_Large,Small,Large
192,5f19c6--REDACTED,Dist_Large_RE_Small_5,0.625,0.125,1.469,5,Dist_Large_RE_Small,Large,Small
193,5f19c6--REDACTED,Dist_Large_RE_Large_10,0.938,0.015625,3.692,10,Dist_Large_RE_Large,Large,Large
194,5f19c6--REDACTED,Dist_Large_RE_Small_2,0.438,0.015625,1.998,2,Dist_Large_RE_Small,Large,Small
195,5f19c6--REDACTED,Dist_Large_RE_Small_10,0.938,0.062,3.076,10,Dist_Large_RE_Small,Large,Small
196,5f19c6--REDACTED,Dist_Large_RE_Large_2,0.562,0.015625,2.31,2,Dist_Large_RE_Large,Large,Large
197,5f19c6--REDACTED,Dist_Large_RE_Large_5,0.625,0.015625,2.473,5,Dist_Large_RE_Large,Large,Large
198,5f19c6--REDACTED,Dist_Small_RE_Small_5,0.25,0.125,0.476,5,Dist_Small_RE_Small,Small,Small
199,5f19c6--REDACTED,Dist_Small_RE_Large_10,0.5,0.25,0.674,10,Dist_Small_RE_Large,Small,Large
200,5f19c6--REDACTED,Dist_Small_RE_Large_5,0.438,0.015625,1.998,5,Dist_Small_RE_Large,Small,Large
201,5f19c6--REDACTED,Dist_Small_RE_Small_10,0.562,0.125,1.306,10,Dist_Small_RE_Small,Small,Small
202,5f19c6--REDACTED,Dist_Small_RE_Large_2,0.312,0.062,1.048,2,Dist_Small_RE_Large,Small,Large
203,5f19c6--REDACTED,Dist_Small_RE_Small_2,0.188,0.062,0.653,2,Dist_Small_RE_Small,Small,Small
204,5f47f3--REDACTED,Dist_Large_RE_Small_2,0.375,0.5,-0.319,2,Dist_Large_RE_Small,Large,Small
205,5f47f3--REDACTED,Dist_Large_RE_Large_10,0.438,0.25,0.518,10,Dist_Large_RE_Large,Large,Large
206,5f47f3--REDACTED,Dist_Large_RE_Small_5,0.625,0.312,0.809,5,Dist_Large_RE_Small,Large,Small
207,5f47f3--REDACTED,Dist_Large_RE_Small_10,0.688,0.25,1.165,10,Dist_Large_RE_Small,Large,Small
208,5f47f3--REDACTED,Dist_Large_RE_Large_5,0.5,0.25,0.674,5,Dist_Large_RE_Large,Large,Large
209,5f47f3--REDACTED,Dist_Large_RE_Large_2,0.5,0.312,0.49,2,Dist_Large_RE_Large,Large,Large
210,5f47f3--REDACTED,Dist_Small_RE_Small_2,0.312,0.375,-0.172,2,Dist_Small_RE_Small,Small,Small
211,5f47f3--REDACTED,Dist_Small_RE_Large_10,0.5,0.375,0.319,10,Dist_Small_RE_Large,Small,Large
212,5f47f3--REDACTED,Dist_Small_RE_Large_2,0.25,0.312,-0.184,2,Dist_Small_RE_Large,Small,Large
213,5f47f3--REDACTED,Dist_Small_RE_Small_10,0.25,0.188,0.211,10,Dist_Small_RE_Small,Small,Small
214,5f47f3--REDACTED,Dist_Small_RE_Large_5,0.562,0.188,1.041,5,Dist_Small_RE_Large,Small,Large
215,5f47f3--REDACTED,Dist_Small_RE_Small_5,0.438,0.375,0.163,5,Dist_Small_RE_Small,Small,Small
216,5f4e76--REDACTED,Dist_Large_RE_Small_2,0.75,0.312,1.165,2,Dist_Large_RE_Small,Large,Small
217,5f4e76--REDACTED,Dist_Large_RE_Small_10,0.984375,0.25,2.828,10,Dist_Large_RE_Small,Large,Small
218,5f4e76--REDACTED,Dist_Small_RE_Large_10,0.75,0.25,1.349,10,Dist_Small_RE_Large,Small,Large
219,5f4e76--REDACTED,Dist_Small_RE_Large_5,0.438,0.25,0.518,5,Dist_Small_RE_Large,Small,Large
220,5f4e76--REDACTED,Dist_Small_RE_Large_2,0.375,0.125,0.832,2,Dist_Small_RE_Large,Small,Large
221,5f4e76--REDACTED,Dist_Large_RE_Large_5,0.812,0.25,1.56,5,Dist_Large_RE_Large,Large,Large
222,5f4e76--REDACTED,Dist_Large_RE_Large_2,0.5,0.125,1.15,2,Dist_Large_RE_Large,Large,Large
223,5f4e76--REDACTED,Dist_Small_RE_Small_10,0.75,0.188,1.56,10,Dist_Small_RE_Small,Small,Small
224,5f4e76--REDACTED,Dist_Large_RE_Small_5,0.75,0.125,1.825,5,Dist_Large_RE_Small,Large,Small
